	|Instruction                |0	    |1	    |2	    |3	    |4	    |5	    |6	    |7	    |8	    |9	    |10	    |11	    |12	    |13	    |14	    |15	    |16	    |17	    |18	    |19	    |20	    |21	    |22	    |23	    |24	    |25	    |26	    |27	    |28	    |29	    |30	    |31	    |32	    |33	    |34	    |35	    |36	    |37	    |38	    |39	    |40	    |41	    |42	    |43	    |44	    |45	    |46	    |47	    |48	    |49	    ||
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0	| add $at, $zero, $zero   	|IF		|ID		|X1-ALU	|WB-ALU	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|
1	| addi $at, $at, 0xff     	|------	|IF		|ID		|X1-ALU	|WB-ALU	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|
2	| addi $at, $at, 0xff10   	|------	|------	|IF		|ID		|X1-ALU	|WB-ALU	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|
3	| addiu $v1, $zero, 0xf   	|------	|------	|------	|IF		|ID		|X1-ALU	|WB-ALU	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|
4	| mult $zero, $v1, $at    	|------	|------	|------	|------	|IF		|ID		|X1-MDV	|X2-MDV	|X3-MDV	|X4-MDV	|WB-MDV	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|
5	| mflo $a0, $zero, $zero  	|------	|------	|------	|------	|------	|IF		|ID		|X1-MDV	|X2-MDV	|X3-MDV	|X4-MDV	|WB-MDV	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|
6	| mfhi $a1, $zero, $zero  	|------	|------	|------	|------	|------	|------	|IF		|ID		|X1-MDV	|X2-MDV	|X3-MDV	|X4-MDV	|WB-MDV	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|
7	| add $a2, $a1, $a0       	|------	|------	|------	|------	|------	|------	|------	|IF		|ID		|------	|------	|X1-ALU	|WB-ALU	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|
8	| lui $v1, 0x4fff         	|------	|------	|------	|------	|------	|------	|------	|------	|IF		|------	|------	|ID		|X1-MEM	|X2-MEM	|X3-MEM	|WB-MEM	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|
9	| ori $v1, $v1, 0xffff    	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|IF		|ID		|------	|------	|X1-ALU	|WB-ALU	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|
10	| mult $zero, $a2, $v1    	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|IF		|------	|------	|ID		|X1-MDV	|X2-MDV	|X3-MDV	|X4-MDV	|WB-MDV	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|
11	| mflo $v1, $zero, $zero  	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|IF		|ID		|X1-MDV	|X2-MDV	|X3-MDV	|X4-MDV	|WB-MDV	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|
12	| mfhi $a0, $zero, $zero  	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|IF		|ID		|X1-MDV	|X2-MDV	|X3-MDV	|X4-MDV	|WB-MDV	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|
13	| add $a2, $a0, $v1       	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|IF		|ID		|------	|------	|X1-ALU	|WB-ALU	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|
14	| lui $at, 0x4fff         	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|IF		|------	|------	|ID		|X1-MEM	|X2-MEM	|X3-MEM	|WB-MEM	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|
15	| ori $at, $at, 0xff62    	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|IF		|ID		|------	|------	|X1-ALU	|WB-ALU	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|
16	| subu $a2, $a2, $at      	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|IF		|------	|------	|ID		|X1-ALU	|WB-ALU	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|------	|
